Date,Time,Latitude,Longitude,Altitude,Battery Voltage (V),Sats used,Wind Speed (m/s),Wind Dir (deg),Vertical Speed (m/s),Temperature(deg),Pressure (hPa),Humidity (%),Dew point (deg)
1980-01-06,00:00:00,51.022663,7.561804,310.2,2.8,6,0.1,234,0.1,0.0,979.3,91.5,-1.2
2021-01-27,10:36:43,51.022663,7.561802,310.2,2.8,6,0.3,76,-0.2,0.0,979.2,91.9,-1.1
2021-01-27,10:36:45,51.022662,7.561799,310.1,2.8,6,0.2,261,-0.3,0.1,979.2,92.0,-1.1
2021-01-27,10:36:46,51.022661,7.561796,309.9,2.8,6,0.4,43,-0.3,0.1,979.2,92.0,-1.1
2021-01-27,10:36:47,51.022662,7.561797,310.0,2.8,6,0.5,265,0.1,0.0,979.2,92.9,-1.0
2021-01-27,10:36:48,51.022663,7.561799,310.3,2.8,6,0.1,307,-0.1,0.0,979.3,92.8,-1.0
2021-01-27,10:36:49,51.022664,7.561796,310.9,2.8,10,0.1,134,-0.1,0.0,979.2,93.0,-1.0
2021-01-27,10:36:50,51.022665,7.561794,311.2,2.8,10,0.0,252,0.0,0.0,979.1,92.9,-1.0
2021-01-27,10:36:51,51.022666,7.561793,311.6,2.8,10,0.1,49,0.0,0.0,979.3,93.2,-1.0
2021-01-27,10:36:52,51.022666,7.561792,311.8,2.8,10,0.1,85,-0.1,0.0,979.3,92.9,-1.0
2021-01-27,10:36:53,51.022666,7.561791,312.0,2.8,10,0.1,63,0.0,0.0,979.2,92.8,-1.0
2021-01-27,10:36:54,51.022666,7.561790,312.0,2.8,10,0.2,145,0.2,0.0,979.3,92.5,-1.1
2021-01-27,10:36:55,51.022667,7.561790,312.1,2.8,9,0.1,70,0.1,0.1,979.2,91.7,-1.1
2021-01-27,10:36:56,51.022667,7.561790,312.2,2.8,10,0.1,116,0.0,0.1,979.2,92.1,-1.1
2021-01-27,10:36:57,51.022667,7.561791,312.2,2.8,9,0.1,250,0.0,0.0,979.3,92.4,-1.0
2021-01-27,10:36:58,51.022667,7.561793,312.3,2.8,9,0.0,315,0.0,0.0,979.3,92.5,-1.1
2021-01-27,10:36:59,51.022666,7.561793,312.3,2.8,10,0.1,51,0.2,0.0,979.4,92.4,-1.1
2021-01-27,10:37:00,51.022666,7.561794,312.2,2.8,10,0.2,214,-0.1,0.0,979.2,92.6,-1.1
2021-01-27,10:37:01,51.022668,7.561796,312.2,2.8,10,0.1,180,-0.1,0.0,979.3,92.9,-1.1
2021-01-27,10:37:02,51.022668,7.561795,312.2,2.8,10,0.0,214,0.0,0.0,979.2,93.1,-1.0
2021-01-27,10:37:03,51.022669,7.561795,312.5,2.8,10,0.1,196,0.1,0.0,979.3,93.2,-1.0
2021-01-27,10:37:04,51.022670,7.561797,312.6,2.8,10,0.2,221,0.1,0.0,979.3,93.0,-1.0
2021-01-27,10:37:05,51.022670,7.561798,312.6,2.8,10,0.1,291,0.0,-0.1,979.2,92.9,-1.1
2021-01-27,10:37:06,51.022670,7.561798,312.7,2.8,10,0.1,99,0.0,0.0,979.3,93.0,-1.0
2021-01-27,10:37:07,51.022671,7.561797,313.0,2.8,10,0.1,190,0.2,0.0,979.3,93.0,-1.0
2021-01-27,10:37:08,51.022672,7.561797,313.1,2.8,10,0.0,76,0.1,0.0,979.3,93.1,-1.0
2021-01-27,10:37:09,51.022672,7.561796,313.2,2.8,10,0.1,46,-0.1,0.0,979.4,92.9,-1.0
2021-01-27,10:37:10,51.022671,7.561796,313.1,2.8,10,0.1,245,-0.1,0.0,979.1,93.2,-1.0
2021-01-27,10:37:11,51.022672,7.561796,313.0,2.8,10,0.1,74,-0.1,0.0,979.2,92.6,-1.1
